datetime,tempmax,tempmin,temp,humidity,description
9/10/2022,28,23.94444444,25.72222222,88.7,Partly cloudy throughout the day with rain.
9/11/2022,28.11111111,24,26.05555556,87.1,Cloudy skies throughout the day with rain clearing later.
9/12/2022,28.83333333,24.88888889,26.5,85.6,Partly cloudy throughout the day with rain clearing later.
9/13/2022,28,23,25.83333333,88.2,Partly cloudy throughout the day with rain.
9/14/2022,29,24,25.88888889,85.8,Partly cloudy throughout the day with rain clearing later.
9/15/2022,29,23,25.72222222,84.4,Partly cloudy throughout the day with rain.
9/16/2022,29,24,25.72222222,86.9,Partly cloudy throughout the day with rain.
9/17/2022,29,24,25.83333333,87.1,Partly cloudy throughout the day.
9/18/2022,29.22222222,24,26.61111111,83.5,Partly cloudy throughout the day with morning rain.
9/19/2022,29,24,26.05555556,83.4,Partly cloudy throughout the day with rain clearing later.
9/20/2022,29,24,26.11111111,82.9,Partly cloudy throughout the day with early morning rain.
9/21/2022,30,23.83333333,26.27777778,80.7,Partly cloudy throughout the day with early morning rain.
9/22/2022,30,23,26.38888889,77.3,Partly cloudy throughout the day with morning rain.
9/23/2022,30,23,25.55555556,82.4,Partly cloudy throughout the day.
9/24/2022,29.83333333,22.83333333,25.77777778,81.7,Partly cloudy throughout the day with morning rain.
9/25/2022,30,23.83333333,26.44444444,79,Partly cloudy throughout the day with morning rain.
9/26/2022,30,24,26.72222222,77.3,Partly cloudy throughout the day.
9/27/2022,30,24,26.94444444,77.2,Clearing in the afternoon with morning rain.
9/28/2022,30,24,26.66666667,79.3,Partly cloudy throughout the day.
9/29/2022,30.05555556,24,26.55555556,79.5,Partly cloudy throughout the day with morning rain.
9/30/2022,27,23,24.61111111,90.9,Partly cloudy throughout the day with morning rain.
10/1/2022,27,23,24.61111111,90.4,Cloudy skies throughout the day with morning rain.
10/2/2022,30,23,26.11111111,83.2,Partly cloudy throughout the day with morning rain.
10/3/2022,29.05555556,24,26.16666667,84.2,Partly cloudy throughout the day with early morning rain.
10/4/2022,30,24.88888889,26.77777778,81.8,Partly cloudy throughout the day with early morning rain.
10/5/2022,29,25,26.61111111,85.7,Partly cloudy throughout the day with late afternoon rain.
10/6/2022,29,24,26,83.1,Partly cloudy throughout the day with early morning rain.
10/7/2022,29,23,25.66666667,82.8,Partly cloudy throughout the day with early morning rain.
10/8/2022,30,23,26,80,Partly cloudy throughout the day.
10/9/2022,30,24,26.61111111,77,Partly cloudy throughout the day.
10/10/2022,29,24,25.83333333,81.6,Partly cloudy throughout the day.
10/11/2022,29.11111111,24,26.16666667,83.9,Partly cloudy throughout the day.
10/12/2022,30,24,26.83333333,83.1,Partly cloudy throughout the day with early morning rain.
10/13/2022,30.11111111,24,27.05555556,79.9,Partly cloudy throughout the day with late afternoon rain.
10/14/2022,30,23.94444444,26.33333333,82.5,Partly cloudy throughout the day with rain clearing later.
10/15/2022,30.11111111,24,26.94444444,81.3,Partly cloudy throughout the day.
10/16/2022,29.05555556,25,26.66666667,82.7,Partly cloudy throughout the day with rain in the morning and afternoon.
10/17/2022,31,24.83333333,27,82.4,Partly cloudy throughout the day with late afternoon rain.
10/18/2022,30,24.94444444,26.38888889,84.2,Partly cloudy throughout the day with afternoon rain.
10/19/2022,31,23.83333333,26.66666667,81.7,Partly cloudy throughout the day with late afternoon rain.
10/20/2022,30.83333333,24,26.83333333,80.8,Partly cloudy throughout the day with late afternoon rain.
10/21/2022,31,23.94444444,27.22222222,82.7,Partly cloudy throughout the day with late afternoon rain.
10/22/2022,31,24,27,82.4,Partly cloudy throughout the day with afternoon rain.
10/23/2022,32,24.88888889,27.83333333,77,Partly cloudy throughout the day.
10/24/2022,32,24,27.55555556,72.7,Partly cloudy throughout the day.
10/25/2022,31,22,26.44444444,72,Clear conditions throughout the day.
10/26/2022,32,22,26.83333333,72.3,Clear conditions throughout the day.
10/27/2022,33,22,27.33333333,63.7,Clear conditions throughout the day.
10/28/2022,33.88888889,22,27.55555556,66.4,Partly cloudy throughout the day.
10/29/2022,33,24,27.5,69.8,Partly cloudy throughout the day with late afternoon rain.
10/30/2022,31.83333333,25,27.5,75.1,Partly cloudy throughout the day with morning rain.
10/31/2022,33,24,28.33333333,70.5,Clearing in the afternoon.
11/1/2022,33,24,27.72222222,74.3,Partly cloudy throughout the day.
11/2/2022,32,24,27.16666667,78.2,Partly cloudy throughout the day with afternoon rain.
11/3/2022,33,24.88888889,28.05555556,70,Partly cloudy throughout the day.
11/4/2022,33,24.88888889,27.94444444,73.9,Partly cloudy throughout the day with late afternoon rain.
11/5/2022,33,24,27.33333333,76.3,Partly cloudy throughout the day.
11/6/2022,33,25,28.05555556,74.8,Partly cloudy throughout the day.
11/7/2022,32.05555556,25,27.88888889,78.1,Partly cloudy throughout the day with afternoon rain.
11/8/2022,33,24,27.94444444,71.9,Partly cloudy throughout the day.
11/9/2022,34.05555556,24,27.94444444,65.2,Clear conditions throughout the day.
11/10/2022,33.05555556,23,27.38888889,65.4,Clear conditions throughout the day.
11/11/2022,33,24,27.77777778,65.1,Partly cloudy throughout the day.
11/12/2022,30,25,27.44444444,74.6,Partly cloudy throughout the day with morning rain.
11/13/2022,32,25,27.94444444,72.1,Partly cloudy throughout the day.
11/14/2022,33,23,27.83333333,74.8,Partly cloudy throughout the day with late afternoon rain.
11/15/2022,30.83333333,23,26.72222222,79.5,Partly cloudy throughout the day.
11/16/2022,30.11111111,24,26.77777778,80.2,Partly cloudy throughout the day.
11/17/2022,32.11111111,23,27.27777778,71.8,Partly cloudy throughout the day.
11/18/2022,32.83333333,22.05555556,26.55555556,60.9,Clear conditions throughout the day.
11/19/2022,32.83333333,21,26,59.5,Clear conditions throughout the day.
11/20/2022,32,21.83333333,25.88888889,61.6,Clear conditions throughout the day.
11/21/2022,32,22,26.11111111,58.6,Clear conditions throughout the day.
11/22/2022,31,21,25.72222222,63.2,Partly cloudy throughout the day.
11/23/2022,30.11111111,23.88888889,26.27777778,69.8,Partly cloudy throughout the day.
11/24/2022,31,24,26.55555556,76.5,Partly cloudy throughout the day with late afternoon rain.
11/25/2022,32,24,27.38888889,80.6,Partly cloudy throughout the day with early morning rain.
11/26/2022,33,24,27.38888889,79.3,Partly cloudy throughout the day.
11/27/2022,30.27777778,25,26.72222222,82.1,Partly cloudy throughout the day with rain.
11/28/2022,28,24,25.5,86,Partly cloudy throughout the day with early morning rain.
11/29/2022,29,24,26.22222222,83.1,Partly cloudy throughout the day with early morning rain.
11/30/2022,31.83333333,24,27.11111111,80.1,Partly cloudy throughout the day.
12/1/2022,32.11111111,23,26.83333333,70.7,Clear conditions throughout the day.
12/2/2022,32.11111111,22.94444444,26.94444444,73.1,Becoming cloudy in the afternoon.
12/3/2022,33,24.88888889,28.11111111,71.5,Partly cloudy throughout the day.
12/4/2022,33,24.94444444,28.27777778,72.5,Partly cloudy throughout the day with early morning rain.
12/5/2022,33,25,28.11111111,71.7,Partly cloudy throughout the day with late afternoon rain.
12/6/2022,33,24,28.11111111,71.8,Partly cloudy throughout the day with early morning rain.
12/7/2022,30,24,26.44444444,70.9,Partly cloudy throughout the day.
12/8/2022,32,20,25.72222222,63.8,Partly cloudy throughout the day.
12/9/2022,28.05555556,21,25.05555556,58.7,Partly cloudy throughout the day.
12/10/2022,30.11111111,22.94444444,26.55555556,63,Partly cloudy throughout the day with late afternoon rain.
12/11/2022,27,22,24.55555556,81,Cloudy skies throughout the day with late afternoon rain.
12/12/2022,28,23,24.72222222,85.7,Partly cloudy throughout the day with afternoon rain.
12/13/2022,28.88888889,22.94444444,25.66666667,80.3,Partly cloudy throughout the day with afternoon rain.
12/14/2022,30.11111111,23.94444444,26.77777778,70.5,Partly cloudy throughout the day with early morning rain.
12/15/2022,33,22.94444444,26.77777778,70.2,Partly cloudy throughout the day.
12/16/2022,32,21.94444444,26.61111111,68.9,Partly cloudy throughout the day.
12/17/2022,32,22,26.5,67.1,Clear conditions throughout the day.
12/18/2022,33,23,27.11111111,66.1,Partly cloudy throughout the day.
12/19/2022,32.88888889,23,27,63.7,Clear conditions throughout the day.
12/20/2022,33,22,26.83333333,61.5,Partly cloudy throughout the day.
12/21/2022,34,23,27.5,66.7,Partly cloudy throughout the day.
12/22/2022,33,22,26.61111111,63.6,Partly cloudy throughout the day.
12/23/2022,32,21,26,61.3,Clear conditions throughout the day.
12/24/2022,33,20.94444444,26.66666667,52,Partly cloudy throughout the day.
12/25/2022,33.11111111,20,26.27777778,59.7,Clear conditions throughout the day.
12/26/2022,35.05555556,24,28.5,65.1,Partly cloudy throughout the day.
12/27/2022,34.88888889,24,28.77777778,67.1,Partly cloudy throughout the day.
12/28/2022,33,24.11111111,28.27777778,71.6,Partly cloudy throughout the day.
12/29/2022,34,25,28.38888889,73,Partly cloudy throughout the day.
12/30/2022,34,24,28.44444444,64.6,Partly cloudy throughout the day.
12/31/2022,33,23,27.22222222,68.4,Partly cloudy throughout the day.
1/1/2023,25.8,13.4,20.1,70.3,Partly cloudy throughout the day.
1/2/2023,23.4,15.5,19.6,75.5,Partly cloudy throughout the day with rain.
1/3/2023,14.9,10.6,12.9,71.1,Partly cloudy throughout the day with rain.
1/4/2023,17,9.6,13.1,74.1,Partly cloudy throughout the day with rain clearing later.
1/5/2023,16.6,6.9,12.1,81.3,Partly cloudy throughout the day with afternoon rain.
1/6/2023,18,10.8,14,71.2,Partly cloudy throughout the day with rain.
1/7/2023,21.1,8.8,15.1,76.1,Partly cloudy throughout the day.
1/8/2023,25.7,11.6,18.4,64.6,Clear conditions throughout the day.
1/9/2023,22.4,12.1,16.5,75.3,Partly cloudy throughout the day with late afternoon rain.
1/10/2023,20.4,12.2,15.4,71.3,Partly cloudy throughout the day with early morning rain.
1/11/2023,24.7,8.8,17.1,66.9,Partly cloudy throughout the day.
1/12/2023,21.8,10.8,16.9,75.1,Partly cloudy throughout the day.
1/13/2023,25.5,13.1,19.6,73.4,Partly cloudy throughout the day.
1/14/2023,28.8,17.1,22.6,60.9,Partly cloudy throughout the day.
1/15/2023,20.9,10.5,17.4,59.3,Clearing in the afternoon.
1/16/2023,19,6.6,13.2,69.1,Partly cloudy throughout the day.
